product_name,price_type,2026-03-26,2026-03-27,2026-03-28,2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05,2026-04-06,2026-04-07,2026-04-08,2026-04-09,2026-04-10,2026-04-11,2026-04-12,2026-04-13,2026-04-14,2026-04-15,2026-04-16,2026-04-17,2026-04-18,2026-04-19,2026-04-20,2026-04-21,2026-04-22,2026-04-23,2026-04-24
Larry Bird Game Worn Sneakers c.1970,start,17755.29,11359.24,11826.69,10339.0,14319.32,13836.79,10339.0,19909.4,18561.33,12116.17,15060.73,16901.82,16489.2,18424.84,13567.84,10339.0,12543.33,12723.31,18835.75,20147.49,16599.4,16235.77,12677.72,14488.95,18526.16,10339.0,17547.21,19661.83,18479.67,12806.83
Larry Bird Game Worn Sneakers c.1970,end,39494.71,45412.32,44590.13,47183.2,41282.69,41639.23,46374.63,34656.59,35817.95,42045.63,38952.7,37316.51,37401.92,35410.56,40221.16,44090.66,40929.88,40980.96,34447.88,33121.59,35965.74,36403.21,39295.88,37304.11,32964.18,42748.71,34376.56,32510.47,33528.17,38811.91
Monumental 17th Century World Map Edwardian Era,start,3755.72,3869.05,5033.89,4653.44,3487.07,3378.01,3902.66,5373.07,4495.45,3629.73,4889.09,2604.0,5436.58,2604.0,2791.12,3810.33,2604.0,4824.17,4973.13,2604.0,2604.0,2798.63,5224.55,5178.17,5102.79,3392.73,4144.62,5228.39,2604.0,3911.56
Monumental 17th Century World Map Edwardian Era,end,11074.28,10848.19,9640.74,10219.62,11339.9,11400.4,10804.14,9195.46,10209.91,10965.22,9789.42,12446.99,9267.9,12528.76,11752.98,10802.83,12129.07,9573.37,9483.43,11902.81,11928.86,11649.02,9161.36,9078.66,9168.55,10778.73,10071.38,8898.89,11467.99,10100.4
Provenance Japanese Samurai Sword Katana,start,6955.92,10038.74,6472.98,9071.2,8488.11,11456.35,10762.78,7616.41,7772.75,7386.99,10891.28,8376.12,10420.17,6751.37,9882.53,9683.44,8450.14,8503.43,9467.14,7223.99,6983.46,8742.54,9439.9,7935.61,9560.09,6838.48,9481.56,8672.58,8419.99,9067.79
Provenance Japanese Samurai Sword Katana,end,19564.08,16184.74,20074.98,18450.03,19482.27,16921.02,16605.88,16696.47,16747.51,19837.25,17428.35,20300.34,17784.13,20364.01,17231.72,17565.85,18132.31,17606.34,17126.67,19788.87,20061.21,18252.0,18222.3,19287.15,17997.34,20242.23,17823.24,18438.97,18566.26,17513.32
Oversized Hydrographic Chart Coastal Federal Period From Private Collection,start,2175.58,2444.4,2815.07,2194.68,2079.0,3046.18,3477.04,3714.25,3570.97,3347.72,3378.33,2557.51,2079.78,3368.12,3646.56,3769.7,2769.83,3452.96,2079.0,2539.56,2186.73,3775.28,2803.3,3649.02,3931.3,2337.37,3437.98,3472.77,2079.0,3415.02
Oversized Hydrographic Chart Coastal Federal Period From Private Collection,end,7754.42,7466.43,7310.9,7742.86,7878.25,6696.41,6133.41,5995.88,5936.94,6040.11,6213.86,7116.29,7654.83,6180.41,5810.47,5729.06,6801.13,6149.49,7615.5,7301.84,7749.03,6083.49,7087.91,6215.4,5973.43,7568.28,6481.16,6479.96,7762.91,6199.48
Grand Norman Rockwell Saturday Evening Post,start,2376.6,3491.21,3667.82,2509.54,2498.02,4066.33,2845.9,2469.12,4420.96,2830.23,3150.64,4043.61,2977.5,2547.63,4276.74,4218.02,3320.46,2757.03,3565.17,4112.06,3452.91,3369.17,2445.08,2920.41,3114.13,4006.5,3694.77,3323.71,4472.71,2598.22
Grand Norman Rockwell Saturday Evening Post,end,8363.4,7299.44,7085.74,8212.15,8129.33,6678.41,8053.31,7371.26,6497.96,8176.7,7799.77,6887.18,7915.91,8315.7,6530.13,6605.35,8076.55,7963.18,7263.11,6910.94,7548.51,7593.21,8419.58,7865.21,7759.09,6944.79,7249.88,7799.29,6705.45,8496.58
Grand Kutani Porcelain Plate Museum Deaccessioned,start,2023.67,2546.31,2825.08,2526.66,2476.3,2453.55,2725.53,2976.11,2725.47,2518.34,2547.13,2715.02,2802.95,2322.53,2101.9,2554.67,1985.93,2588.07,2520.28,2782.55,3013.95,2871.57,2207.49,2825.3,2419.84,2480.49,2510.98,2589.96,2423.41,2246.1
Grand Kutani Porcelain Plate Museum Deaccessioned,end,4906.33,4399.79,4128.97,4449.79,4535.31,4539.39,4290.54,4053.75,4331.06,4525.87,4484.17,4324.53,4236.51,4701.24,4918.92,4491.91,5041.54,4477.48,4563.35,4291.88,4068.46,4229.18,4963.11,3858.91,4237.74,4632.53,4578.91,4525.24,4704.21,4878.25
Fine Pave Diamond Bangle c.1920,start,23911.52,28086.47,21118.33,20837.97,15343.999999999998,24316.04,23442.71,24564.19,16833.68,18262.1,15343.999999999998,15735.06,16808.58,25755.68,25156.03,21577.29,26108.57,15491.9,16576.45,24656.09,20339.56,15974.28,15343.999999999998,15343.999999999998,15343.999999999998,16816.84,18262.34,15436.37,28231.34,16043.63
Fine Pave Diamond Bangle c.1920,end,54978.48,50499.63,57247.88,58274.59,64337.4,55118.25,55390.23,54705.42,61790.94,59938.11,63976.92,61314.56,60695.66,51314.88,51607.89,54550.76,50885.12,60692.14,59085.87,51462.09,55579.53,60425.14,62486.51,60432.92,61408.26,58343.37,61135.12,59222.41,46434.95,58371.56
Certified Blenko Hand Blown Decanter c.1780,start,6535.34,9589.38,6694.38,6941.05,6286.64,7407.95,6388.18,10254.54,7778.48,6631.42,9274.52,8081.36,6114.33,7544.37,6827.28,5941.5,9817.41,7585.62,7706.63,7350.69,9363.54,8438.27,10594.85,9335.4,8212.35,7942.45,7315.2,7027.67,6007.91,6731.65
Certified Blenko Hand Blown Decanter c.1780,end,20234.66,17274.1,20242.44,19994.57,20577.55,17277.04,18399.83,16828.94,19162.93,20198.82,17643.67,18851.02,20784.07,19355.06,20105.38,20948.19,17176.55,19377.36,19222.07,19583.28,17493.71,18367.1,16343.87,17652.69,18831.03,19127.39,19772.04,20187.75,21160.06,20569.1
Pristine Chronometer Marine Deck Mid-Century,start,4313.25,6442.85,7306.37,6203.11,4188.15,5668.98,5624.42,4991.73,4802.16,4593.26,5603.98,7228.35,6173.74,6204.36,6395.24,7091.55,6522.79,5682.33,5900.93,4823.37,4168.17,6018.51,4604.33,7395.68,7281.63,6014.53,5730.67,7445.74,7406.26,6477.39
Pristine Chronometer Marine Deck Mid-Century,end,13786.75,11567.34,10761.91,11954.44,14097.86,12655.25,12661.18,13385.24,13497.41,13525.61,12534.92,11114.83,12086.6,12036.42,11860.49,11122.2,11601.3,12469.17,12319.34,13366.36,14017.62,12337.2,13738.01,11122.79,11356.98,12595.57,12927.33,11337.9,11503.79,12496.16
Exhibited Lewis & Clark Expedition Map c.1880 Museum Deaccessioned,start,1299.18,1896.36,1585.36,1489.59,1442.76,1652.49,1087.91,1740.52,1219.47,1558.84,1782.25,1322.36,1389.03,1911.2,1326.29,1747.52,1563.69,1981.48,1408.61,1467.11,1795.28,1374.21,2047.48,1311.91,1603.19,1543.1,1547.32,1521.77,1057.69,1581.2
Exhibited Lewis & Clark Expedition Map c.1880 Museum Deaccessioned,end,3770.82,3154.17,3694.29,3661.55,3574.74,3618.52,3947.31,3170.32,3670.1,3256.59,3290.89,3755.84,3797.43,3280.05,3830.25,3466.81,3787.54,3290.57,3991.49,4042.3,3621.77,4215.52,3418.81,4163.27,3835.81,3951.15,3927.89,3977.36,4319.04,3754.89
Period Biedermeier Secretaire,start,699.58,546.92,656.86,532.04,694.44,785.09,580.33,735.13,618.63,661.29,490.31,509.88,670.94,675.16,643.9,520.42,751.86,584.86,740.08,507.73,533.25,500.92,612.5,737.29,678.86,630.62,567.2,492.26,629.82,605.3
Period Biedermeier Secretaire,end,1120.42,1258.57,1141.52,1271.07,1082.54,1108.99,1170.56,1019.04,1128.9,1083.71,1244.28,1238.73,1076.53,1077.7,1124.48,1250.99,1030.09,1185.67,1020.23,1265.24,1241.54,1256.71,1148.55,1017.17,1066.44,1110.54,1181.71,1255.47,1134.21,1150.1
Unique Bakhtiari Garden Design Rug Good Condition,start,8260.77,6812.62,7552.22,6194.95,7301.06,8197.18,6350.02,5590.03,6465.12,7709.94,8393.27,5892.53,8357.37,6818.87,7721.22,8503.64,8052.64,5603.36,6965.35,7981.25,6934.77,5846.33,5536.91,8530.75,7589.93,7101.41,7394.77,8200.34,6211.04,5806.94
Unique Bakhtiari Garden Design Rug Good Condition,end,12439.23,13970.35,13285.6,14712.95,13554.58,12668.55,14449.92,15213.25,14327.65,13116.39,12475.67,15060.64,12632.81,14186.16,13179.09,12373.76,12755.5,15171.12,13896.21,12861.42,13944.51,15037.53,15272.45,12309.62,13183.02,13701.31,13472.52,12716.68,14675.49,14974.45
Hank Aaron Home Run Ball,start,12577.43,15409.35,12636.3,13718.64,13683.07,12684.0,13851.7,12633.73,15832.87,15028.5,13394.47,14718.22,15281.66,13423.45,14215.92,14502.75,13257.07,14613.5,16044.51,14273.77,16334.51,16162.81,16371.81,13560.14,15959.85,13151.84,14644.11,15902.36,12874.3,14362.73
Hank Aaron Home Run Ball,end,23832.57,21003.5,23737.61,22647.9,22684.96,23569.7,22504.54,23707.84,20446.75,21495.89,23123.93,21786.72,21018.54,22912.82,22224.46,21950.92,23286.27,23645.39,20546.0,22260.11,20261.6,20586.68,20277.26,23234.31,20833.81,23791.64,22504.21,21308.38,24359.28,23075.29
Provenance Wurlitzer Electric Piano,start,14421.2,18909.27,20423.01,12974.71,18470.78,19214.07,12016.54,17216.35,20252.47,10556.0,14681.65,18315.56,16789.72,12676.01,10556.0,10556.0,10631.03,13238.22,22136.63,10556.0,22348.59,16549.11,14744.12,16891.01,14201.72,24155.27,10556.0,10556.0,19722.63,20279.31
Provenance Wurlitzer Electric Piano,end,51788.8,47422.88,45146.28,52403.28,47019.07,45813.04,53101.99,47933.77,44888.74,56660.39,51660.44,48602.26,49954.04,53953.56,57757.41,56600.05,56310.76,53890.34,44509.39,56401.42,44730.26,49993.49,52323.16,49961.83,53396.52,43314.93,58543.16,57350.47,47993.26,47596.79
Federal Period Console,start,8444.18,14105.16,11955.2,8124.03,11614.4,9676.04,7962.1,13788.64,8700.39,9576.85,12607.8,7804.999999999999,14465.44,13849.39,11442.38,12506.84,11182.65,11794.57,7804.999999999999,11633.75,12918.13,11692.75,7804.999999999999,11978.7,10903.06,11220.96,10585.15,13177.32,14124.0,12629.0
Federal Period Console,end,27705.82,22046.38,23897.17,27922.66,24319.23,26933.8,28888.22,22979.59,28115.26,26988.14,23811.41,28510.47,21560.79,22038.6,24430.36,23055.25,24219.58,23615.93,27638.5,23212.91,22084.15,23172.67,27005.4,19260.56,23823.74,23504.91,24487.32,21884.97,21134.12,22939.58
Delicate Louis Vuitton Trunk Antique c.1860,start,6728.4,7799.94,7953.85,7078.68,7521.3,7847.49,8042.82,8135.77,7925.29,7229.67,8403.77,8164.36,7532.05,8217.37,8420.39,8795.33,7261.33,8628.21,8010.14,7754.06,8607.3,7042.68,8209.79,7281.88,8527.2,9052.81,9323.32,8299.24,8446.41,8798.08
Delicate Louis Vuitton Trunk Antique c.1860,end,11201.6,10097.3,9683.07,10634.81,11103.81,10784.6,10880.38,10421.85,10875.88,11548.47,10555.08,10273.17,11416.1,10689.95,10823.32,10674.21,12005.2,11088.15,11771.46,11902.49,10866.24,11740.74,10327.35,11669.33,11087.04,11191.34,11166.6,11996.38,11837.28,11291.97
Haida Argillite Carving c.1900 With Certificate,start,707.22,970.76,903.47,719.38,972.75,910.7,952.81,851.56,722.63,708.12,758.07,761.12,814.55,822.67,715.27,716.78,690.13,854.3,698.46,814.6,781.43,947.96,780.75,763.56,965.84,743.96,709.22,843.68,720.54,826.81
Haida Argillite Carving c.1900 With Certificate,end,1522.78,1272.21,1364.85,1509.59,1274.12,1330.35,1258.59,1372.33,1533.89,1538.62,1489.31,1477.16,1439.93,1411.99,1516.97,1492.84,1526.33,1157.7,1515.45,1411.45,1457.88,1329.8,1493.74,1505.33,1289.52,1508.07,1552.76,1413.17,1514.91,1421.94
Exhibited Gouache Street Scene Regency Period,start,54122.06,41206.08,57335.5,56903.51,47686.84,39262.6,39019.93,47694.37,36966.34,37205.54,36843.95,32991.77,36383.12,30869.999999999996,52130.31,43982.32,38246.31,50568.89,42520.66,52937.51,41476.82,41955.7,40967.59,39449.98,52078.0,30869.999999999996,41108.29,30869.999999999996,53234.52,43443.14
Exhibited Gouache Street Scene Regency Period,end,94757.94,104040.35,91579.33,92210.31,100130.86,106128.54,108038.25,99054.61,105729.98,93767.33,105211.9,107198.28,102155.47,113621.82,90521.39,98593.34,107188.29,92429.61,100950.38,91673.39,101575.21,101117.7,99720.78,93872.76,80076.55,105609.65,92442.64,103712.67,82606.57,89682.34
Unmatched Limoges Enamel Box Collection c.1930,start,130.66,165.23,128.07,167.17,159.89,169.85,156.99,139.03,140.17,184.26,119.42,141.25,168.11,197.43,196.61,156.56,186.48,179.37,160.15,204.2,136.74,181.64,119.37,153.12,185.62,202.3,201.38,184.04,118.29,130.23
Unmatched Limoges Enamel Box Collection c.1930,end,359.34,324.15,360.43,321.14,328.78,317.58,332.44,347.7,346.89,303.32,370.77,351.97,323.06,296.76,299.35,314.15,281.49,314.64,334.06,290.69,357.9,314.37,372.92,341.85,348.82,291.18,291.75,307.14,373.44,363.68
Estate Chinese Scholar's Rock 18th Century Excellent Condition,start,20778.48,22086.0,22810.26,20881.73,21434.43,19055.47,21806.89,23585.6,21310.49,19796.12,24326.36,21750.22,20562.99,23289.94,20670.08,19618.62,25070.71,20864.0,19551.54,21965.23,19881.16,20274.99,24618.31,18851.38,21456.35,24515.57,20810.38,19633.33,22762.08,21226.14
Estate Chinese Scholar's Rock 18th Century Excellent Condition,end,34311.52,33190.03,32711.06,34591.76,33627.05,35837.43,32643.76,30945.96,33344.43,35119.52,30926.56,32808.78,34668.51,32448.0,35449.99,36738.74,31744.41,36149.02,36719.28,34832.6,36358.24,35900.96,31392.21,36842.92,34049.31,30943.28,34628.92,35858.37,32526.33,34444.9
Unique Henri Cartier-Bresson Gelatin Print Early 20th Century As Found,start,861.16,989.14,900.29,609.0,915.66,808.59,919.1,810.75,1076.64,1245.42,614.05,1253.04,685.3,609.0,676.16,792.03,913.45,609.0,1156.94,1175.02,609.0,904.03,1165.55,1152.64,942.18,680.15,698.84,625.08,910.75,1034.62
Unique Henri Cartier-Bresson Gelatin Print Early 20th Century As Found,end,2308.84,2217.82,2347.72,2672.07,2408.99,2524.6,2404.97,2510.59,2220.1,2070.56,2709.07,2034.46,2607.14,2710.6,2623.75,2729.89,2390.82,2783.2,2193.01,1937.85,2527.58,2426.26,2128.06,2054.92,2227.83,2487.38,2436.62,2481.84,2218.77,2137.8
Early WWII Aviator Leather Jacket 18th Century,start,4752.39,4848.53,5405.62,5125.08,4703.1,3902.34,4697.38,5537.21,4890.95,3353.04,4251.09,3623.91,5689.19,3604.39,4300.43,3658.65,5004.61,4383.84,5438.02,3441.37,4226.35,4849.52,5376.29,4281.3,5161.7,4103.91,4995.67,4463.55,3977.09,3366.43
Early WWII Aviator Leather Jacket 18th Century,end,9247.61,9224.27,8610.55,8817.73,9151.58,9902.18,9053.48,8182.55,8902.3,10487.85,9644.23,10350.86,8282.34,10421.79,9768.24,10380.02,8934.46,9510.57,8454.03,10486.65,9718.57,9236.55,8792.45,10391.9,9017.02,10175.81,9289.57,9712.6,10234.99,10844.73
Delicate Castrol Oil Can Collection Edwardian Era,start,1741.52,1397.39,2008.88,2464.94,1781.04,1451.36,1827.0,1499.74,2100.13,1472.14,2295.02,1826.39,1316.0,1647.27,2152.91,1639.67,1776.1,1743.12,1772.08,1999.17,1342.45,2291.38,1611.04,2105.25,2237.59,2610.13,2203.93,2329.17,1608.4,1316.0
Delicate Castrol Oil Can Collection Edwardian Era,end,5138.48,5456.79,4877.4,4345.41,5033.85,5358.04,4816.92,5173.91,4419.68,5026.18,4299.55,4781.93,5355.86,4921.01,4434.53,4989.08,4785.48,4927.3,5010.27,4799.48,5302.68,4315.33,5048.58,4642.44,4601.65,4322.2,4696.19,4343.04,5127.54,5663.18
Museum Quality Tempera on Panel Edwardian Era,start,60393.92,85371.74,64618.2,86271.42,71430.48,68778.13,74831.3,90054.34,66369.42,60982.5,69817.28,60024.23,81731.51,87301.64,87572.54,88160.98,87292.6,68041.42,77888.34,85928.64,52431.68,83276.89,64054.42,84528.81,69150.81,75279.86,65258.61,85990.83,56426.58,80466.64
Museum Quality Tempera on Panel Edwardian Era,end,162986.08,136058.02,155367.33,135443.55,148991.36,152431.97,146214.96,130661.68,154093.95,158547.86,148174.77,157646.84,134293.71,129135.69,129100.81,128235.65,129435.38,147322.91,138426.39,130985.57,162499.22,132359.03,151069.44,130466.29,143838.94,138864.53,147973.67,128170.16,157511.32,133229.7
Certified Whale Oil Lamp Antique c.1920 Museum Deaccessioned,start,3129.0,6322.65,3129.0,4004.88,3129.0,3767.81,5564.1,4625.19,5939.01,4193.77,3561.81,3129.0,3733.0,3129.0,3129.0,4775.55,3129.0,5175.19,5775.02,5646.5,4992.42,3879.01,4359.13,3129.0,3808.72,4620.57,3129.0,5277.41,5011.88,4220.7
Certified Whale Oil Lamp Antique c.1920 Museum Deaccessioned,end,14841.4,11411.03,14701.05,13722.27,15204.85,13918.39,12131.31,13015.31,11710.09,13420.83,14217.88,15416.54,13800.69,14966.01,14660.24,12635.48,14766.4,12264.57,11663.87,11818.12,12323.69,13604.3,12178.54,13899.96,13579.71,12818.49,15018.05,12183.93,12510.9,13114.84
Magnificent LEGO Castle Set Vintage Art Deco Period Recently Conserved,start,4137.07,6618.29,6787.13,3276.0,6310.95,5208.7,3646.32,3276.0,4320.42,5493.87,3813.96,6244.93,3308.78,5509.52,4049.33,3276.0,5015.15,3276.0,3721.69,5906.56,4425.33,4182.9,6388.84,3903.68,3276.0,5158.11,5219.39,5734.01,3276.0,5742.41
Magnificent LEGO Castle Set Vintage Art Deco Period Recently Conserved,end,13712.93,11295.16,11158.39,15004.58,11553.93,12643.23,14181.78,14599.59,13590.16,12388.89,13979.79,11602.25,14514.47,12299.87,13759.27,14850.75,12861.47,15296.95,14107.2,11944.27,13393.81,13630.09,11466.95,13907.25,15035.29,12526.45,12457.94,11942.49,15016.32,11835.21
Museum Quality Filigree Silver Brooch,start,14657.999999999998,14657.999999999998,14657.999999999998,19398.88,14657.999999999998,31470.32,14657.999999999998,25906.24,14657.999999999998,17504.04,28023.09,14657.999999999998,23714.32,29624.57,28470.47,21907.47,14657.999999999998,30712.42,19064.8,23705.17,14657.999999999998,21227.45,14657.999999999998,18110.96,15671.95,17662.67,15998.62,28731.81,21603.69,23933.99
Museum Quality Filigree Silver Brooch,end,83053.25,81854.77,79665.5,70862.92,81178.2,59602.22,78341.34,64203.73,78101.95,72022.37,63683.4,79640.52,70481.83,64451.36,63741.52,70469.96,78628.74,62875.73,71857.56,65516.25,78551.15,64891.46,75750.97,62928.2,71566.68,68648.65,68940.61,58187.46,64005.15,62698.06
Rare Brass Samovar Russian With Certificate,start,2371.47,2695.36,2812.2,2480.02,2849.41,2601.67,2503.79,2490.73,2447.79,2586.24,3104.31,2656.64,2816.55,2489.52,2200.84,2205.8,2562.43,2822.62,2421.71,3063.6,2770.83,2495.08,2594.11,2463.74,2232.14,2779.43,2830.14,2754.65,2407.97,2809.37
Rare Brass Samovar Russian With Certificate,end,4838.53,4729.71,4408.0,4716.14,4246.48,4675.79,4867.06,5150.55,5113.38,4857.6,4113.74,4460.75,4169.74,4423.62,4499.89,4558.84,4286.01,4072.43,4568.36,4034.87,4192.77,4405.15,4387.17,4553.89,4748.29,4379.99,4511.44,4579.67,4886.93,4660.58
Quilt Log Cabin Pattern Late Victorian,start,3964.97,4071.28,3910.69,4183.62,3663.14,4328.93,3785.35,4256.07,3762.47,3854.84,3963.34,3922.69,4303.52,4339.76,4099.08,3945.35,3856.93,4043.76,3955.23,4129.82,3901.63,3970.34,4350.16,3965.11,4136.45,3846.55,3870.82,3858.08,4475.51,4009.93
Quilt Log Cabin Pattern Late Victorian,end,5385.03,5258.13,5373.63,5103.87,5563.12,4999.57,5529.72,5018.34,5588.65,5550.55,5465.73,5539.05,5200.74,5239.7,5467.42,5637.38,5736.83,5668.95,5727.95,5578.51,5822.64,5770.5,5410.76,5785.28,5517.42,5824.14,5770.63,5798.33,5155.8,5579.72
Bentley Flying B Mascot,start,1019.99,690.35,1298.3,821.64,864.6,665.0,665.0,1386.37,665.0,665.0,930.29,1037.7,731.32,1307.57,964.2,751.49,665.0,665.0,669.34,665.0,711.82,1247.52,1430.85,1163.71,1114.62,791.53,1232.06,665.0,1199.73,1330.58
Bentley Flying B Mascot,end,2780.01,3121.45,2524.58,2996.01,2956.58,3254.52,3232.78,2423.25,3163.03,3304.81,2910.87,2801.06,3092.81,2527.94,2860.53,3076.06,3311.02,3192.51,3281.01,3246.06,3108.8,2581.08,2402.96,2668.97,2736.21,3064.68,2618.95,3301.14,2668.48,2525.43
Certified Serena Williams Match Racket Modernist Period,start,11633.6,6886.61,12311.11,6842.41,9129.31,10702.93,9239.35,11940.04,9598.02,6879.6,12303.88,8262.95,11232.72,8033.67,7500.74,7610.73,9946.86,7286.32,9976.02,12117.35,12446.83,10971.99,8270.1,7248.29,11653.05,11485.9,10347.14,12555.82,7209.89,11813.21
Certified Serena Williams Match Racket Modernist Period,end,19796.4,24482.65,18899.85,24554.67,22569.44,21084.76,22341.49,19625.87,22021.06,24922.79,19441.52,23270.79,19905.24,22985.79,23854.22,23621.43,21317.39,24171.51,21704.57,19262.92,19164.06,20831.07,23641.73,25095.8,20513.45,20626.94,21964.84,19827.2,25153.65,20817.29
Premier Spanish Doubloon Georgian Period,start,48144.39,31890.75,35614.28,42604.87,33759.21,46302.04,34842.97,45371.3,48260.21,39206.8,46269.77,32835.31,45347.1,43246.78,39767.94,35898.92,51751.96,41100.74,48132.56,50420.12,53222.26,45346.72,49285.28,34587.07,41045.24,45709.81,37855.42,45968.99,47771.72,29007.999999999996
Premier Spanish Doubloon Georgian Period,end,81615.61,97115.76,94087.39,83908.05,94536.74,84047.5,97079.36,88692.19,83027.93,93150.64,83408.05,95008.6,79223.25,84457.79,92127.02,98558.39,82261.28,93488.63,87418.24,87267.89,83411.25,91952.89,84690.71,95924.64,88668.01,79960.4,89756.48,81167.5,77716.34,94777.05
McIntosh MC275 Amplifier Arts & Crafts Era Good Condition,start,8297.59,6969.62,6002.15,7521.63,8354.82,7950.47,7480.83,5315.4,6640.41,7200.13,4668.04,4541.95,6936.44,4165.0,7489.36,6189.26,5330.53,4165.0,7556.05,7161.9,4165.0,4747.73,4165.0,6582.33,8122.49,7990.0,7251.76,6795.62,8121.03,5239.44
McIntosh MC275 Amplifier Arts & Crafts Era Good Condition,end,13532.41,14905.0,15851.49,14308.17,13413.32,13788.36,14335.96,16555.25,15330.2,14780.04,17312.29,17448.34,15092.41,18000.58,14453.79,15776.42,16589.01,17993.05,14413.4,14737.32,18339.31,17028.23,17856.9,15138.75,13607.25,13676.52,14291.17,14727.18,13369.71,16233.82
Krug Collection 1988 Good Condition,start,3122.0,3880.93,3122.0,5319.53,4495.77,3122.0,3562.68,3122.0,3122.0,6433.04,5031.21,5011.93,3334.98,3323.33,4964.89,6155.59,3122.0,6072.35,4340.5,5245.7,3122.0,6469.19,4300.85,4273.51,6236.98,5919.57,6032.57,3504.72,6487.79,3544.52
Krug Collection 1988 Good Condition,end,14336.39,13027.84,14198.45,11593.72,12315.81,14110.67,13232.49,14246.72,14165.39,10583.59,11928.41,11931.07,13641.5,13612.75,12034.43,10844.69,14273.41,11008.75,12778.68,11884.1,14167.45,10666.51,12803.92,12851.86,10851.0,11209.72,11120.01,13700.39,10714.22,13703.35
