product_name,2026-03-26;start,2026-03-26;end,2026-03-27;start,2026-03-27;end,2026-03-28;start,2026-03-28;end,2026-03-29;start,2026-03-29;end,2026-03-30;start,2026-03-30;end,2026-03-31;start,2026-03-31;end,2026-04-01;start,2026-04-01;end,2026-04-02;start,2026-04-02;end,2026-04-03;start,2026-04-03;end,2026-04-04;start,2026-04-04;end,2026-04-05;start,2026-04-05;end,2026-04-06;start,2026-04-06;end,2026-04-07;start,2026-04-07;end,2026-04-08;start,2026-04-08;end,2026-04-09;start,2026-04-09;end,2026-04-10;start,2026-04-10;end,2026-04-11;start,2026-04-11;end,2026-04-12;start,2026-04-12;end,2026-04-13;start,2026-04-13;end,2026-04-14;start,2026-04-14;end,2026-04-15;start,2026-04-15;end,2026-04-16;start,2026-04-16;end,2026-04-17;start,2026-04-17;end,2026-04-18;start,2026-04-18;end,2026-04-19;start,2026-04-19;end,2026-04-20;start,2026-04-20;end,2026-04-21;start,2026-04-21;end,2026-04-22;start,2026-04-22;end,2026-04-23;start,2026-04-23;end,2026-04-24;start,2026-04-24;end
1909-S VDB Lincoln Penny c.1880,51147.06,31752.94,57705.21,24946.78,59961.52,24576.7,59638.92,22090.64,48493.98,33490.36,49660.92,29704.54,49813.02,29588.74,52135.63,27505.49,52913.77,28177.58,57177.76,24494.04,54825.03,25930.64,60259.46,20424.76,55752.11,24837.43,61887.37,21563.88,56511.7,24339.47,57463.44,22686.4,56577.07,22033.44,46239.85,32368.43,57325.91,21596.36,48754.89,31458.63,49572.73,30410.72,55616.14,23522.27,58031.74,20088.51,56109.09,23338.57,46765.43,29014.84,57256.42,21440.54,47332.24,32173.56,58721.65,21902.63,56474.72,22488.08,61516.43,21061.17
1909-S VDB Lincoln Penny c.1930,46780.05,21029.95,47897.61,20188.48,44144.72,23834.43,48869.21,18918.85,44171.75,23890.32,46348.93,22437.82,49683.33,20170.54,51713.61,18709.08,49994.38,20977.9,51690.26,19853.17,49204.68,21372.64,53135.73,16890.62,54221.01,15528.5,44670.64,24889.92,47386.02,23380.34,55156.5,14989.77,55402.51,15110.99,50501.34,19803.87,42759.45,28300.86,47462.48,23270.74,46553.98,24160.67,49752.36,21299.38,53779.34,16876.88,47354.75,23311.26,43087.14,27000.98,43950.16,25698.96,55151.15,14788.97,54078.71,15744.69,43970.14,26354.77,50149.37,20460.67
1909-S VDB Lincoln Penny c.1950,35400.67,16149.33,31780.31,19911.94,34095.68,17694.58,38764.96,12901.69,36029.46,15721.33,35063.39,16575.37,32677.16,18797.97,37657.0,13949.51,33411.49,18185.67,37183.07,14377.49,34002.51,17681.59,31625.04,19776.59,33642.59,17576.68,30713.83,20378.38,35620.39,15391.96,36439.13,14684.37,37262.92,13764.66,31434.37,19349.35,32337.19,18506.22,35942.98,15121.91,37221.53,13927.69,30271.98,20884.36,32770.55,18315.22,30447.79,20776.36,33093.09,18157.94,36804.42,14719.63,32982.27,18846.61,35209.39,19712.91,38041.05,13588.77,30982.45,20723.33
1913 Liberty Head Nickel,56273.83,25476.17,47472.17,34101.24,47030.78,33085.24,48909.93,31190.13,47500.61,32907.45,54680.67,26242.79,55641.97,25357.07,55276.29,25201.12,46349.99,34297.05,50708.69,29814.45,47465.26,33721.65,53535.76,32171.0,48470.14,33031.86,51207.63,30038.6,46143.1,34467.21,48352.55,32168.52,47378.34,32773.84,49578.56,30862.14,47899.36,31978.91,47471.57,32543.68,49959.11,29469.02,51392.56,28277.43,51221.3,28792.27,52803.15,27544.65,55368.73,25643.38,47978.74,32053.36,54309.67,25694.16,45485.56,33682.41,49833.0,28964.79,46853.9,31755.38
1945 Mouton Rothschild,14753.64,4916.36,12318.69,7414.87,12890.75,6537.96,14760.88,4544.12,15020.47,4411.35,14165.66,4932.7,11284.42,7425.93,13427.22,5188.01,12608.33,5699.35,13626.29,4742.59,13849.9,4354.34,12738.47,6118.06,14510.98,4666.1,12072.95,6803.32,12403.54,6311.55,12887.47,5540.52,12818.04,5442.79,11325.91,6497.14,10870.7,6368.23,10481.37,7012.32,13183.93,4340.0,11050.58,6101.13,12225.36,5224.47,11341.98,6217.57,13658.7,4340.0,11366.28,6408.82,11099.73,6819.88,11283.2,6608.6,11964.53,6068.58,14194.5,4493.73
1945 Mouton Rothschild c.1970,7695.44,2434.56,6375.53,3829.69,7220.2,2970.99,6677.08,3610.78,7034.46,3230.82,7882.67,2379.27,7450.97,2879.62,6779.08,3586.0,6267.77,4043.38,8100.25,3100.93,7240.28,3027.67,7246.08,2991.99,7748.78,2467.43,6399.14,3789.15,6498.24,3632.95,7795.75,2352.55,6170.35,3972.2,6389.17,3764.06,6925.96,3256.28,6918.11,3219.72,7792.13,2359.25,7683.64,2345.74,6210.52,3933.9,6532.65,3681.84,7108.59,3103.54,6796.26,3320.09,6137.2,3939.84,7705.33,2422.47,8040.02,2128.0,7641.81,2553.14
1952 Topps Mickey Mantle Card,53037.58,15992.42,55934.01,13321.0,52622.44,15764.38,46929.55,21478.47,44672.96,23646.95,42036.38,26380.09,48661.33,19611.0,45959.25,22064.5,50159.8,13321.0,54461.13,14529.97,50175.13,18944.8,57703.93,13321.0,51004.18,18767.04,53771.51,15425.43,49985.92,19481.59,42837.21,26636.68,45470.38,23734.26,45652.31,23313.04,55484.63,13494.11,43050.1,26383.1,45278.28,24037.22,57463.17,13321.0,46310.78,22470.9,60817.17,13321.0,55134.79,13671.34,56177.97,13321.0,44289.5,23165.87,42619.49,24458.35,41575.54,25625.75,43929.06,23893.57
1952 Topps Mickey Mantle Card Belle Epoque,34379.14,19690.86,33062.93,21108.4,30276.14,23646.4,34399.5,19614.76,33530.27,20603.97,32654.07,21123.85,30159.91,23333.1,29786.15,18589.56,32992.85,20239.11,33723.34,19626.07,32238.62,21462.64,31534.25,22226.94,32987.87,20733.17,31833.47,21990.48,31080.63,22679.6,30400.53,23370.04,33640.46,20355.25,32297.95,21983.47,35013.37,18841.99,33363.01,20909.03,31878.86,22388.24,30798.66,23802.82,35128.09,19057.54,35321.66,18774.97,31794.82,22722.98,31203.12,23023.32,32548.22,21835.08,33164.58,21442.18,32298.4,23065.64,34235.45,21485.55
1961 Chateau Latour,20108.59,12081.41,22274.17,9914.09,19882.67,12192.63,18138.91,13816.21,19430.89,12405.72,18533.47,13454.8,21184.71,11134.82,18651.32,13893.18,22820.48,9848.72,21840.59,11291.75,19750.43,13634.81,20037.54,13654.57,22284.24,11476.12,19534.84,14320.43,23697.91,10460.71,20006.45,14345.53,23225.37,11913.92,23988.64,10986.11,24104.13,10408.72,23483.51,12433.63,23592.07,10668.53,22919.49,11351.97,24004.72,10353.29,22209.85,12565.02,21525.55,12869.9,22413.25,12214.79,24276.94,10310.88,23668.85,10778.43,21378.42,12670.14,21960.63,12041.56
1961 Chateau Latour Estate Fresh,24946.26,8403.74,26606.29,6629.99,21406.73,11561.86,27397.6,5845.0,21978.85,10754.05,28393.23,5845.0,26186.21,6312.16,21058.0,11228.13,23037.97,9267.48,27865.72,5845.0,24712.32,7270.57,21460.17,10579.51,27833.93,5845.0,21448.32,10517.79,25933.32,6052.51,24184.16,7570.88,20726.91,11093.84,23214.78,8714.42,26776.84,5845.0,24833.26,7220.37,23008.97,8813.43,26331.67,5845.0,23729.66,8170.17,22877.43,9221.57,26703.09,5845.0,24312.27,8426.27,28184.47,5845.0,22295.87,10440.48,23303.39,9649.99,26750.61,6213.45
1982 Petrus Pomerol,25167.24,9582.76,28958.39,6825.0,23440.53,11481.22,24030.46,11122.44,26488.72,8966.66,25251.61,9964.29,27420.3,7549.07,27778.26,7131.63,25951.62,8703.29,25867.23,8384.94,22335.62,12170.87,27317.11,7971.33,23407.28,12259.51,26928.13,8599.4,22029.9,13535.32,25154.84,10835.51,24360.69,11070.97,28481.52,7124.9,27370.65,8162.59,24914.38,10272.97,24164.56,11438.38,22701.48,13245.03,28247.86,7377.6,24745.23,11150.34,22049.59,13601.9,22042.11,13301.98,23337.9,12152.81,25258.67,10082.87,22697.46,12550.19,26535.26,8416.72
1982 Petrus Pomerol Art Nouveau Period,2690.74,1299.26,2364.06,1635.81,2740.74,1253.79,2626.73,1365.39,2862.57,1137.87,2639.8,1371.28,2384.22,1612.42,2580.63,1412.84,2505.7,1500.6,2853.61,1149.11,2882.26,1140.29,2532.6,1504.42,2697.02,1353.29,3031.46,1028.98,2996.71,1071.5,3052.22,1014.71,2494.97,1567.15,2669.75,1366.72,2820.02,1170.34,2605.64,1185.6,2457.49,1600.53,3042.08,994.58,2396.91,1662.98,2723.94,1330.96,2777.8,1275.76,2939.0,1132.42,2727.44,1337.13,2546.83,1536.72,2736.13,1357.47,2545.04,1551.08
1982 Petrus Pomerol Estate Fresh,15799.78,11510.22,18374.04,8942.07,15501.24,11791.79,17961.51,9362.31,15891.31,11474.98,17554.09,9768.55,15806.4,11674.72,16353.52,11093.41,16708.71,10836.02,17562.61,9939.91,14618.51,9742.32,17604.96,9641.52,15918.24,11299.89,17809.57,9511.18,17942.44,9387.96,18401.85,8885.64,17554.86,9730.19,17347.07,10003.01,16598.76,10662.64,15731.03,11361.51,18044.0,8945.19,15815.06,11195.48,17375.69,9625.19,15822.63,11148.38,16402.06,10700.35,18342.97,8508.36,16890.98,9827.44,16726.86,11189.47,16413.45,10207.43,17607.69,9054.3
1982 Petrus Pomerol c.1940 From Private Collection,4136.04,1933.96,4038.02,2002.7,4251.77,1781.75,4701.52,1359.49,4355.7,1716.47,5083.26,980.0,4748.09,1340.62,4269.98,1880.0,4343.85,1805.71,5316.74,980.0,4975.5,1184.93,4137.72,2059.94,4980.4,1195.29,4389.23,1747.11,4340.06,1784.38,3964.08,2206.3,4859.92,1349.18,4137.64,2055.78,5164.88,1030.5,4552.87,1665.82,4125.65,2092.24,5414.25,980.0,4126.04,2098.79,4995.57,1263.75,5493.15,980.0,4280.18,1308.86,4853.07,980.0,5011.88,1155.04,4023.16,2091.09,5219.01,980.0
1985 Sassicaia,5319.59,2910.41,6244.75,2001.39,5433.0,2809.39,6933.94,1421.0,6303.04,1982.56,5568.17,2697.49,6688.83,1584.67,6189.39,2098.92,7146.8,1421.0,6673.99,1582.53,5817.01,2444.36,7040.71,1421.0,5401.86,2794.31,6357.49,1831.19,6043.88,2217.02,7160.23,1421.0,6623.3,1648.74,6905.85,1421.0,5501.13,2796.03,5874.43,2456.72,7226.77,1421.0,5409.25,2867.98,5264.59,3034.72,7167.9,1421.0,6044.13,2285.15,6459.57,1896.85,7270.5,1421.0,5870.02,2551.45,7016.87,1421.0,5359.02,3077.78
1985 Sassicaia Regency Period,18437.04,11552.96,21447.76,9349.47,21439.24,9017.6,19891.01,10497.93,18652.49,12011.99,18094.97,12090.94,18512.14,12418.72,19714.5,11497.31,19243.09,11516.51,20276.75,10869.1,21743.76,8776.11,20218.28,10915.03,20098.34,10469.17,17560.33,12443.62,19965.49,10095.31,19479.68,10712.34,19220.88,10875.46,21744.07,9025.46,22159.27,8241.97,22835.66,7781.24,21878.77,9193.6,19593.4,11016.64,19953.24,10634.0,18390.66,12963.37,21302.52,10321.23,18940.13,12440.22,18559.61,13120.43,22533.24,10364.43,20682.39,10550.01,20588.14,10645.83
1990 Screaming Eagle Cabernet,24290.16,12179.84,25013.82,12086.28,23541.5,13095.51,22996.35,15229.82,27256.67,11875.39,27547.83,12319.75,24604.25,14765.27,28262.17,11257.43,27341.32,12915.64,27193.24,13503.96,31176.87,9046.1,27133.55,12690.56,30481.73,9712.73,24588.72,16532.15,29835.34,10565.9,29953.89,10124.82,29474.45,10483.82,27322.34,13109.01,25075.81,14968.06,26755.2,13958.07,25245.04,14894.36,29136.09,11632.1,26058.52,14557.62,29507.57,11227.82,27272.77,14285.27,28468.14,13692.91,31068.78,10460.09,31101.98,10686.16,26039.01,15908.47,28383.39,11490.21
1990 Screaming Eagle Cabernet Early 20th Century,26444.62,8525.38,28804.54,6979.0,24884.06,10612.95,25114.05,10699.02,24225.77,11668.27,25278.49,10613.69,27720.33,8400.87,23407.89,12388.25,22921.65,13129.52,26713.59,9485.15,29143.24,6979.0,27317.12,8759.46,29240.86,7213.13,23472.2,12783.55,26305.95,10172.31,27528.36,8693.55,25753.44,10407.37,24853.2,11215.4,23925.66,12003.72,25596.04,10281.19,22463.64,13752.56,27757.0,8626.19,25074.35,11209.83,22474.09,14072.13,26415.92,12309.71,26251.84,10993.4,26274.17,10813.78,24458.28,13062.46,23925.37,13795.02,29720.84,8400.17
1990 Screaming Eagle Cabernet c.1860 Estate Fresh,6587.99,3302.01,6401.39,3425.36,6700.25,3328.47,6121.57,4418.89,6412.86,3973.2,6640.42,3952.23,6884.03,3498.7,6978.83,3508.53,5693.53,4261.38,6296.91,3608.38,6577.62,3449.49,6824.74,3688.65,6340.28,3531.4,6649.92,3207.69,6097.75,3580.91,5609.89,4129.82,5757.18,4026.63,5982.36,3618.91,5683.74,3971.25,5451.41,4045.25,6355.57,2916.66,6078.23,3104.73,5543.6,3702.31,5066.79,3902.18,5509.39,3404.67,6039.45,2829.15,5523.84,3661.0,5302.9,3915.94,5861.58,3580.64,6054.27,3342.43
1990 Screaming Eagle Cabernet c.1880,4647.63,2922.37,4526.28,3127.55,5385.98,2389.12,5561.88,2153.7,4523.85,3065.31,5230.39,2478.38,4714.69,2988.07,4719.29,3035.62,5555.83,2224.01,4783.14,3039.37,4690.86,3219.02,5687.63,2227.33,5129.49,2720.3,4611.34,3183.95,5219.95,2671.64,5289.81,2700.93,5250.93,2711.73,5546.47,2344.19,5005.76,2967.46,4690.99,3325.9,5341.76,2667.34,5343.8,2666.24,5725.37,2272.99,5429.15,2539.66,5339.53,2637.74,5753.96,2272.54,5247.53,2722.59,4740.16,3282.61,5295.48,2734.32,5857.99,2294.25
A. Lange & Sohne Saxonia,98057.8,59352.2,96248.75,60277.25,110322.74,47616.87,91766.6,63620.98,92910.8,64441.33,87233.65,64016.71,94224.97,54738.51,92294.76,57510.63,94157.89,55820.26,99601.52,51268.96,99556.67,46029.38,91593.7,54656.34,84893.73,62312.52,89705.48,53113.72,86151.02,58980.15,82655.07,61179.32,99240.67,47742.23,96171.05,52974.53,103690.9,48709.21,89993.31,62315.11,104740.94,49444.2,103638.67,45352.11,96536.1,55852.26,97688.65,67862.44,112773.8,48826.19,97945.24,59065.18,89766.96,65478.93,106530.68,44406.25,88865.48,65705.21,98712.06,54173.48
A. Lange & Sohne Saxonia Arts & Crafts Era,5167.91,3542.09,4899.54,3739.89,5607.67,3085.17,4966.36,3686.47,5088.87,3526.11,5780.47,2954.34,5581.76,3163.02,5389.25,3350.92,5513.94,3278.96,5162.71,3682.79,5352.71,3465.9,5880.11,2919.13,5300.53,3463.16,5888.72,2895.53,5808.92,2930.79,5471.55,3231.26,5288.93,3390.45,5262.14,3492.14,5862.71,2849.07,5512.63,3189.57,5317.3,3400.35,4940.1,3797.17,5871.08,2899.76,5343.22,2896.2,4804.46,3392.15,5409.26,3430.54,5426.94,3415.25,5522.83,3367.04,5539.38,3285.01,5065.03,3749.18
A. Lange & Sohne Saxonia Empire Period With Provenance,57659.06,18780.94,55115.15,20535.68,44933.41,30078.53,53598.7,21692.38,46196.76,28749.45,53311.08,21029.55,52324.68,22677.63,48473.5,26228.32,45735.71,29103.01,55200.83,19105.65,50171.93,24022.02,49098.35,25093.35,54933.79,19512.99,50480.47,23856.0,55553.7,18631.62,46656.03,27232.45,47165.42,26726.73,55502.45,19877.28,46297.18,28431.56,52716.47,21827.4,55071.06,19660.07,46032.88,28445.54,53337.9,20059.82,46018.75,27670.5,44961.24,28156.1,49004.29,24184.3,52558.08,20758.48,55799.84,17598.85,45356.39,27742.89,56799.18,16527.0
A. Lange & Sohne Saxonia Mid-Century,88252.65,46857.35,95148.56,40048.99,101956.78,34709.24,94615.03,41422.1,93650.34,41901.68,81230.96,55079.04,82515.49,54755.41,92309.09,35821.36,101261.95,38922.85,90270.05,52341.03,83529.01,59155.89,107651.94,36210.88,83670.17,59160.65,101883.74,43448.6,96243.53,48659.42,104807.2,39683.63,93219.2,51550.11,92535.65,54182.37,96436.37,50729.15,106437.33,39164.3,92164.65,51837.21,95061.19,50057.24,104116.18,40454.07,103119.03,41400.15,99385.69,46941.98,100329.05,46516.52,107244.14,40373.0,95127.72,53866.21,103242.06,47495.87,108273.71,41687.56
A. Lange & Sohne Saxonia c.1960,62889.94,51660.06,62380.14,52597.43,66371.53,49334.46,66828.33,47223.78,65540.29,48525.21,61314.86,51714.16,67665.5,44888.34,61099.87,51589.25,67910.5,43795.71,67268.2,43448.15,67402.95,43869.29,62861.78,49329.89,63393.74,51006.71,68549.3,46401.23,67955.4,47703.68,62679.3,51977.23,66809.3,48232.55,69039.26,47124.37,66206.25,49471.61,63528.32,52340.41,63129.22,52728.72,63718.1,51912.55,69357.53,45902.89,64639.97,50121.23,64643.92,51543.36,68294.29,47814.66,65574.31,49777.26,68680.98,45853.77,69166.53,45997.27,66328.42,49689.78
AA Badge Chrome Collection,4717.04,1562.96,4140.52,2144.34,4136.37,2305.83,4171.95,2296.3,5198.23,1280.07,4872.49,1521.94,5172.66,1241.49,5385.89,1211.0,4088.91,2376.36,4992.03,1341.41,4358.25,1881.06,3905.21,2298.99,4898.52,1229.04,4239.8,1832.02,4273.82,1768.42,3721.85,2264.95,4080.58,1902.73,4813.06,1211.0,4709.74,1282.55,4921.87,1211.0,4757.01,1314.91,3927.34,2179.86,5113.66,1635.21,4472.88,1781.95,4433.25,1819.34,3890.2,1803.98,4395.84,1837.66,3914.49,2387.76,4913.3,1341.64,4900.71,1353.57
AA Badge Chrome Collection Modernist Period,3549.69,1490.31,3027.71,2002.26,3573.21,1711.93,3459.65,1925.62,3872.53,1569.35,3928.55,1625.48,3653.24,1989.09,3819.39,1768.68,3157.12,2277.22,3526.15,1869.2,3622.11,1770.26,3213.03,2242.62,3467.92,1963.28,3589.9,1943.98,3888.72,1662.08,3153.61,2200.96,3168.84,2228.1,3634.6,1710.0,3837.09,1748.99,3508.2,1552.79,3117.18,1770.28,3039.77,1626.31,3191.94,1387.54,2967.13,1705.76,3156.39,1441.68,3052.35,1455.25,3061.72,1397.1,3127.74,1473.22,2799.14,1761.14,3018.31,1587.2
Aboriginal Boomerang Carved,33533.75,9626.25,26486.83,16988.26,29574.02,13894.71,35351.02,8582.0,33181.67,10191.96,28524.46,14858.68,32323.97,10746.72,30307.2,12822.81,32208.15,10732.67,33329.07,10587.22,32838.08,10867.82,34028.41,9699.23,35844.12,8582.0,34028.67,9662.27,31106.04,12499.08,33208.45,10061.04,34017.26,9079.36,28006.25,15040.77,30058.54,13337.28,33408.19,9937.05,27963.93,15382.26,32328.49,11311.79,29746.52,13229.77,33638.03,9571.47,30748.2,12080.27,30488.78,12474.93,35455.16,8582.0,27624.77,15291.76,30473.59,12798.59,34105.14,9397.22
Aboriginal Boomerang Carved 18th Century,37652.13,14367.87,36866.71,15141.05,36975.75,14987.52,44271.05,9317.0,38542.32,13057.11,32874.53,18696.92,36582.71,15051.66,37197.91,14469.4,43914.78,9317.0,35619.67,16340.34,43506.91,9317.0,40298.2,11514.4,37055.21,14850.14,40393.15,11540.21,34595.43,17510.0,34576.74,11261.8,32835.3,12968.2,40366.84,11877.53,34109.43,18309.81,35581.18,16278.17,33534.87,18119.64,43771.78,9317.0,40495.04,11014.13,37167.57,14472.1,36177.2,15844.13,41137.57,10872.34,42413.68,9627.36,42554.06,9430.44,35018.83,17051.54,41441.62,10404.4
Aboriginal Boomerang Carved Late Victorian Unrestored,24267.37,6362.63,26261.57,5495.0,24538.19,6235.06,26124.04,5495.0,20387.72,10324.83,25070.49,5695.64,19196.4,11671.14,23146.31,7711.61,21069.63,9929.28,25090.33,5893.23,26480.3,5495.0,21837.18,9098.91,22029.72,8935.28,22072.51,9045.79,25563.76,5647.47,20978.43,10088.93,19981.5,11137.95,20648.91,10309.09,20555.97,10357.19,20228.54,10663.94,19626.61,11364.69,26050.32,5495.0,20480.8,10736.62,26607.87,5495.0,22912.49,8137.57,24158.23,6638.75,23898.76,6839.84,24177.8,6487.3,25825.2,5495.0,19888.02,10799.72
